"provinsi","kategori","kode_prov","kode_kategori","variable","value"
"Aceh","Pertanian, Kehutanan, dan Perikanan","11","A","Input Antara Domestik","7639500.0801889"
"Aceh","Pertambangan dan Penggalian ","11","B","Input Antara Domestik","2538069.8647035"
"Aceh","Industri Pengolahan","11","C","Input Antara Domestik","12163458.271889"
"Aceh","Pengadaan Listrik dan Gas","11","D","Input Antara Domestik","4929972.2847719"
"Aceh","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","11","E","Input Antara Domestik","162647.84475919"
"Aceh","Konstruksi","11","F","Input Antara Domestik","11363048.145917"
"Aceh","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","11","G","Input Antara Domestik","6669723.7386164"
"Aceh","Transportasi dan Pergudangan ","11","H","Input Antara Domestik","3067866.085006"
"Aceh","Penyediaan Akomodasi dan Makan Minum","11","I","Input Antara Domestik","3612077.9719191"
"Aceh","Informasi dan Komunikasi","11","J","Input Antara Domestik","839417.46405375"
"Aceh","Jasa Keuangan dan Asuransi","11","K","Input Antara Domestik","568211.26801992"
"Aceh","Real Estate","11","L","Input Antara Domestik","2500592.8148065"
"Aceh","Jasa Perusahaan","11","MN","Input Antara Domestik","765950.42849487"
"Aceh","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","11","O","Input Antara Domestik","6094808.777768"
"Aceh","Jasa Pendidikan","11","P","Input Antara Domestik","2308335.5469111"
"Aceh","Jasa Kesehatan dan Kegiatan Sosial","11","Q","Input Antara Domestik","1831470.2687719"
"Aceh","Jasa Lainnya","11","RSTU","Input Antara Domestik","908005.40804573"
"Sumatera Utara","Pertanian, Kehutanan, dan Perikanan","12","A","Input Antara Domestik","25254708.590445"
"Sumatera Utara","Pertambangan dan Penggalian ","12","B","Input Antara Domestik","4748175.6917875"
"Sumatera Utara","Industri Pengolahan","12","C","Input Antara Domestik","205460324.26986"
"Sumatera Utara","Pengadaan Listrik dan Gas","12","D","Input Antara Domestik","12587717.67257"
"Sumatera Utara","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","12","E","Input Antara Domestik","383714.13490847"
"Sumatera Utara","Konstruksi","12","F","Input Antara Domestik","59136763.982095"
"Sumatera Utara","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","12","G","Input Antara Domestik","26666403.742422"
"Sumatera Utara","Transportasi dan Pergudangan ","12","H","Input Antara Domestik","26368761.845004"
"Sumatera Utara","Penyediaan Akomodasi dan Makan Minum","12","I","Input Antara Domestik","14621481.212642"
"Sumatera Utara","Informasi dan Komunikasi","12","J","Input Antara Domestik","4640147.4491566"
"Sumatera Utara","Jasa Keuangan dan Asuransi","12","K","Input Antara Domestik","3224348.2604832"
"Sumatera Utara","Real Estate","12","L","Input Antara Domestik","3964231.9395756"
"Sumatera Utara","Jasa Perusahaan","12","MN","Input Antara Domestik","4197166.5249019"
"Sumatera Utara","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","12","O","Input Antara Domestik","7079365.2435762"
"Sumatera Utara","Jasa Pendidikan","12","P","Input Antara Domestik","7557212.4152733"
"Sumatera Utara","Jasa Kesehatan dan Kegiatan Sosial","12","Q","Input Antara Domestik","4261536.343947"
"Sumatera Utara","Jasa Lainnya","12","RSTU","Input Antara Domestik","4529099.7041156"
"Sumatera Barat","Pertanian, Kehutanan, dan Perikanan","13","A","Input Antara Domestik","6498210.4759856"
"Sumatera Barat","Pertambangan dan Penggalian ","13","B","Input Antara Domestik","1800904.2117536"
"Sumatera Barat","Industri Pengolahan","13","C","Input Antara Domestik","20954862.492048"
"Sumatera Barat","Pengadaan Listrik dan Gas","13","D","Input Antara Domestik","1934980.4425888"
"Sumatera Barat","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","13","E","Input Antara Domestik","155618.51289082"
"Sumatera Barat","Konstruksi","13","F","Input Antara Domestik","16356515.564042"
"Sumatera Barat","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","13","G","Input Antara Domestik","7090927.0558273"
"Sumatera Barat","Transportasi dan Pergudangan ","13","H","Input Antara Domestik","11400080.169593"
"Sumatera Barat","Penyediaan Akomodasi dan Makan Minum","13","I","Input Antara Domestik","5136047.7725754"
"Sumatera Barat","Informasi dan Komunikasi","13","J","Input Antara Domestik","4956668.1262905"
"Sumatera Barat","Jasa Keuangan dan Asuransi","13","K","Input Antara Domestik","1065071.272035"
"Sumatera Barat","Real Estate","13","L","Input Antara Domestik","1582041.6301886"
"Sumatera Barat","Jasa Perusahaan","13","MN","Input Antara Domestik","921089.24136676"
"Sumatera Barat","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","13","O","Input Antara Domestik","2989562.4008395"
"Sumatera Barat","Jasa Pendidikan","13","P","Input Antara Domestik","1943322.8208841"
"Sumatera Barat","Jasa Kesehatan dan Kegiatan Sosial","13","Q","Input Antara Domestik","1186953.9515088"
"Sumatera Barat","Jasa Lainnya","13","RSTU","Input Antara Domestik","1523937.7503106"
"Riau","Pertanian, Kehutanan, dan Perikanan","14","A","Input Antara Domestik","13801238.34496"
"Riau","Pertambangan dan Penggalian ","14","B","Input Antara Domestik","10758071.817119"
"Riau","Industri Pengolahan","14","C","Input Antara Domestik","224395881.38249"
"Riau","Pengadaan Listrik dan Gas","14","D","Input Antara Domestik","8161908.3193236"
"Riau","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","14","E","Input Antara Domestik","115694.73039682"
"Riau","Konstruksi","14","F","Input Antara Domestik","40255643.53034"
"Riau","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","14","G","Input Antara Domestik","14856132.127247"
"Riau","Transportasi dan Pergudangan ","14","H","Input Antara Domestik","7344718.0255409"
"Riau","Penyediaan Akomodasi dan Makan Minum","14","I","Input Antara Domestik","3392416.6583606"
"Riau","Informasi dan Komunikasi","14","J","Input Antara Domestik","2887996.6608362"
"Riau","Jasa Keuangan dan Asuransi","14","K","Input Antara Domestik","1125077.735286"
"Riau","Real Estate","14","L","Input Antara Domestik","1749601.0541023"
"Riau","Jasa Perusahaan","14","MN","Input Antara Domestik","2645712.5475319"
"Riau","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","14","O","Input Antara Domestik","4358969.9964539"
"Riau","Jasa Pendidikan","14","P","Input Antara Domestik","2664024.9210067"
"Riau","Jasa Kesehatan dan Kegiatan Sosial","14","Q","Input Antara Domestik","3353577.2754907"
"Riau","Jasa Lainnya","14","RSTU","Input Antara Domestik","2191370.8176526"
"Jambi","Pertanian, Kehutanan, dan Perikanan","15","A","Input Antara Domestik","4944643.4444609"
"Jambi","Pertambangan dan Penggalian ","15","B","Input Antara Domestik","6068608.1847969"
"Jambi","Industri Pengolahan","15","C","Input Antara Domestik","25523431.374344"
"Jambi","Pengadaan Listrik dan Gas","15","D","Input Antara Domestik","5755474.6917239"
"Jambi","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","15","E","Input Antara Domestik","133110.77090491"
"Jambi","Konstruksi","15","F","Input Antara Domestik","5288238.1752805"
"Jambi","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","15","G","Input Antara Domestik","6654438.0299023"
"Jambi","Transportasi dan Pergudangan ","15","H","Input Antara Domestik","5162761.075248"
"Jambi","Penyediaan Akomodasi dan Makan Minum","15","I","Input Antara Domestik","2120734.619671"
"Jambi","Informasi dan Komunikasi","15","J","Input Antara Domestik","2358000.5908462"
"Jambi","Jasa Keuangan dan Asuransi","15","K","Input Antara Domestik","683770.77873666"
"Jambi","Real Estate","15","L","Input Antara Domestik","936509.21019661"
"Jambi","Jasa Perusahaan","15","MN","Input Antara Domestik","1306117.4730573"
"Jambi","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","15","O","Input Antara Domestik","2054625.326861"
"Jambi","Jasa Pendidikan","15","P","Input Antara Domestik","938451.37464693"
"Jambi","Jasa Kesehatan dan Kegiatan Sosial","15","Q","Input Antara Domestik","649777.75951705"
"Jambi","Jasa Lainnya","15","RSTU","Input Antara Domestik","567357.30301352"
"Sumatera Selatan","Pertanian, Kehutanan, dan Perikanan","16","A","Input Antara Domestik","16343309.799271"
"Sumatera Selatan","Pertambangan dan Penggalian ","16","B","Input Antara Domestik","34136254.564151"
"Sumatera Selatan","Industri Pengolahan","16","C","Input Antara Domestik","90652076.257442"
"Sumatera Selatan","Pengadaan Listrik dan Gas","16","D","Input Antara Domestik","20547778.737197"
"Sumatera Selatan","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","16","E","Input Antara Domestik","249906.09341889"
"Sumatera Selatan","Konstruksi","16","F","Input Antara Domestik","49428384.778203"
"Sumatera Selatan","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","16","G","Input Antara Domestik","16258002.435532"
"Sumatera Selatan","Transportasi dan Pergudangan ","16","H","Input Antara Domestik","10624930.37529"
"Sumatera Selatan","Penyediaan Akomodasi dan Makan Minum","16","I","Input Antara Domestik","7576122.1288773"
"Sumatera Selatan","Informasi dan Komunikasi","16","J","Input Antara Domestik","4349093.7567583"
"Sumatera Selatan","Jasa Keuangan dan Asuransi","16","K","Input Antara Domestik","1632171.8107404"
"Sumatera Selatan","Real Estate","16","L","Input Antara Domestik","2382540.9439457"
"Sumatera Selatan","Jasa Perusahaan","16","MN","Input Antara Domestik","926206.62777961"
"Sumatera Selatan","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","16","O","Input Antara Domestik","5487423.4810814"
"Sumatera Selatan","Jasa Pendidikan","16","P","Input Antara Domestik","3501027.5910954"
"Sumatera Selatan","Jasa Kesehatan dan Kegiatan Sosial","16","Q","Input Antara Domestik","2798871.0053307"
"Sumatera Selatan","Jasa Lainnya","16","RSTU","Input Antara Domestik","4397963.6005002"
"Bengkulu","Pertanian, Kehutanan, dan Perikanan","17","A","Input Antara Domestik","2905777.1665561"
"Bengkulu","Pertambangan dan Penggalian ","17","B","Input Antara Domestik","1389295.2999145"
"Bengkulu","Industri Pengolahan","17","C","Input Antara Domestik","5888700.6293016"
"Bengkulu","Pengadaan Listrik dan Gas","17","D","Input Antara Domestik","551569.61036695"
"Bengkulu","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","17","E","Input Antara Domestik","18724.077214037"
"Bengkulu","Konstruksi","17","F","Input Antara Domestik","2537310.3834196"
"Bengkulu","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","17","G","Input Antara Domestik","2051751.043798"
"Bengkulu","Transportasi dan Pergudangan ","17","H","Input Antara Domestik","1697938.8089723"
"Bengkulu","Penyediaan Akomodasi dan Makan Minum","17","I","Input Antara Domestik","1370694.6367691"
"Bengkulu","Informasi dan Komunikasi","17","J","Input Antara Domestik","769966.57142998"
"Bengkulu","Jasa Keuangan dan Asuransi","17","K","Input Antara Domestik","408614.25876359"
"Bengkulu","Real Estate","17","L","Input Antara Domestik","245117.64280649"
"Bengkulu","Jasa Perusahaan","17","MN","Input Antara Domestik","553018.78766625"
"Bengkulu","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","17","O","Input Antara Domestik","1454971.1409528"
"Bengkulu","Jasa Pendidikan","17","P","Input Antara Domestik","648135.99794873"
"Bengkulu","Jasa Kesehatan dan Kegiatan Sosial","17","Q","Input Antara Domestik","590744.73335515"
"Bengkulu","Jasa Lainnya","17","RSTU","Input Antara Domestik","389869.27146667"
"Lampung","Pertanian, Kehutanan, dan Perikanan","18","A","Input Antara Domestik","10675783.009043"
"Lampung","Pertambangan dan Penggalian ","18","B","Input Antara Domestik","3204313.1582145"
"Lampung","Industri Pengolahan","18","C","Input Antara Domestik","60947088.87775"
"Lampung","Pengadaan Listrik dan Gas","18","D","Input Antara Domestik","5544557.9500811"
"Lampung","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","18","E","Input Antara Domestik","134793.79586368"
"Lampung","Konstruksi","18","F","Input Antara Domestik","22345854.515877"
"Lampung","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","18","G","Input Antara Domestik","11792542.061689"
"Lampung","Transportasi dan Pergudangan ","18","H","Input Antara Domestik","8106510.9611331"
"Lampung","Penyediaan Akomodasi dan Makan Minum","18","I","Input Antara Domestik","6074869.1070435"
"Lampung","Informasi dan Komunikasi","18","J","Input Antara Domestik","4045164.8192015"
"Lampung","Jasa Keuangan dan Asuransi","18","K","Input Antara Domestik","1250910.4897269"
"Lampung","Real Estate","18","L","Input Antara Domestik","1441808.3419681"
"Lampung","Jasa Perusahaan","18","MN","Input Antara Domestik","897234.95380299"
"Lampung","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","18","O","Input Antara Domestik","3827987.5683113"
"Lampung","Jasa Pendidikan","18","P","Input Antara Domestik","2170588.9395124"
"Lampung","Jasa Kesehatan dan Kegiatan Sosial","18","Q","Input Antara Domestik","1875364.0668781"
"Lampung","Jasa Lainnya","18","RSTU","Input Antara Domestik","2616501.2273201"
"Kep. Bangka Belitung","Pertanian, Kehutanan, dan Perikanan","19","A","Input Antara Domestik","2157676.0860077"
"Kep. Bangka Belitung","Pertambangan dan Penggalian ","19","B","Input Antara Domestik","1542459.6083421"
"Kep. Bangka Belitung","Industri Pengolahan","19","C","Input Antara Domestik","13792323.706582"
"Kep. Bangka Belitung","Pengadaan Listrik dan Gas","19","D","Input Antara Domestik","1725151.700176"
"Kep. Bangka Belitung","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","19","E","Input Antara Domestik","28938.429267233"
"Kep. Bangka Belitung","Konstruksi","19","F","Input Antara Domestik","3006628.9684846"
"Kep. Bangka Belitung","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","19","G","Input Antara Domestik","1933676.6576012"
"Kep. Bangka Belitung","Transportasi dan Pergudangan ","19","H","Input Antara Domestik","2679592.1092035"
"Kep. Bangka Belitung","Penyediaan Akomodasi dan Makan Minum","19","I","Input Antara Domestik","1842117.1645537"
"Kep. Bangka Belitung","Informasi dan Komunikasi","19","J","Input Antara Domestik","398960.64925481"
"Kep. Bangka Belitung","Jasa Keuangan dan Asuransi","19","K","Input Antara Domestik","268666.60474099"
"Kep. Bangka Belitung","Real Estate","19","L","Input Antara Domestik","199259.20514995"
"Kep. Bangka Belitung","Jasa Perusahaan","19","MN","Input Antara Domestik","176515.47354627"
"Kep. Bangka Belitung","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","19","O","Input Antara Domestik","1555158.2320798"
"Kep. Bangka Belitung","Jasa Pendidikan","19","P","Input Antara Domestik","456122.27378046"
"Kep. Bangka Belitung","Jasa Kesehatan dan Kegiatan Sosial","19","Q","Input Antara Domestik","417224.01802793"
"Kep. Bangka Belitung","Jasa Lainnya","19","RSTU","Input Antara Domestik","203304.76450413"
"Kep. Riau","Pertanian, Kehutanan, dan Perikanan","21","A","Input Antara Domestik","700412.48591433"
"Kep. Riau","Pertambangan dan Penggalian ","21","B","Input Antara Domestik","1552528.106907"
"Kep. Riau","Industri Pengolahan","21","C","Input Antara Domestik","26156627.325743"
"Kep. Riau","Pengadaan Listrik dan Gas","21","D","Input Antara Domestik","5378928.4419942"
"Kep. Riau","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","21","E","Input Antara Domestik","91172.493338982"
"Kep. Riau","Konstruksi","21","F","Input Antara Domestik","7328624.1671922"
"Kep. Riau","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","21","G","Input Antara Domestik","4741883.66396"
"Kep. Riau","Transportasi dan Pergudangan ","21","H","Input Antara Domestik","4079079.4597578"
"Kep. Riau","Penyediaan Akomodasi dan Makan Minum","21","I","Input Antara Domestik","4776636.9273741"
"Kep. Riau","Informasi dan Komunikasi","21","J","Input Antara Domestik","1383924.9975778"
"Kep. Riau","Jasa Keuangan dan Asuransi","21","K","Input Antara Domestik","741959.11567163"
"Kep. Riau","Real Estate","21","L","Input Antara Domestik","1054832.479628"
"Kep. Riau","Jasa Perusahaan","21","MN","Input Antara Domestik","494694.33473539"
"Kep. Riau","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","21","O","Input Antara Domestik","2054735.2855281"
"Kep. Riau","Jasa Pendidikan","21","P","Input Antara Domestik","363559.26135263"
"Kep. Riau","Jasa Kesehatan dan Kegiatan Sosial","21","Q","Input Antara Domestik","341755.66598691"
"Kep. Riau","Jasa Lainnya","21","RSTU","Input Antara Domestik","461117.77316167"
"DKI Jakarta","Pertanian, Kehutanan, dan Perikanan","31","A","Input Antara Domestik","493642.85397863"
"DKI Jakarta","Pertambangan dan Penggalian ","31","B","Input Antara Domestik","1492682.9294252"
"DKI Jakarta","Industri Pengolahan","31","C","Input Antara Domestik","191434919.48747"
"DKI Jakarta","Pengadaan Listrik dan Gas","31","D","Input Antara Domestik","59005549.292957"
"DKI Jakarta","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","31","E","Input Antara Domestik","1459078.130366"
"DKI Jakarta","Konstruksi","31","F","Input Antara Domestik","240757216.42851"
"DKI Jakarta","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor","31","G","Input Antara Domestik","93085212.472032"
"DKI Jakarta","Transportasi dan Pergudangan ","31","H","Input Antara Domestik","76462580.272401"
"DKI Jakarta","Penyediaan Akomodasi dan Makan Minum","31","I","Input Antara Domestik","39937923.015685"
"DKI Jakarta","Informasi dan Komunikasi","31","J","Input Antara Domestik","61500574.943925"
"DKI Jakarta","Jasa Keuangan dan Asuransi","31","K","Input Antara Domestik","82620463.407092"
"DKI Jakarta","Real Estate","31","L","Input Antara Domestik","57570010.030071"
"DKI Jakarta","Jasa Perusahaan","31","MN","Input Antara Domestik","104941702.13423"
"DKI Jakarta","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","31","O","Input Antara Domestik","74471519.757887"
"DKI Jakarta","Jasa Pendidikan","31","P","Input Antara Domestik","32950485.306002"
"DKI Jakarta","Jasa Kesehatan dan Kegiatan Sosial","31","Q","Input Antara Domestik","24677923.010978"
"DKI Jakarta","Jasa Lainnya","31","RSTU","Input Antara Domestik","37019557.235088"
